location,built_area_sqft,bhk,bathrooms,lift,air_conditioner,parking,gym,security,water_supply,rent
Darbhanga,1335.3275514821232,2,1,0,1,1,0,0,1,69741.28054538029
Arilova,3137.043363239686,3,1,1,0,0,0,0,0,201447.29679946834
Gaya,893.5949406243966,2,2,1,1,0,0,0,0,71896.24949469307
Saharanpur,2327.11647322933,3,2,0,0,1,0,1,0,121218.01101325617
Namakkal,1174.7267392620552,3,1,0,1,1,0,1,0,88425.16980978413
Gandhinagar,443.6347887180158,2,1,1,0,1,1,0,1,44617.931565515864
Darbhanga,1268.3252473583493,4,1,0,1,1,1,0,1,70918.84927024704
Nalgonda,3913.145517676194,4,3,1,1,0,0,1,0,166499.05883706218
Baddi,3285.5336027787625,3,3,0,1,0,1,1,1,313805.7672653325
Vasai,3854.4759195557203,4,1,0,0,0,1,0,0,332942.6853303308
Bikaner,2156.2745581349045,3,2,0,1,0,1,0,0,118854.80487836845
Bhadrak,795.0503152390127,4,1,1,0,1,1,0,0,62898.90789126755
Rohtak,2372.6541603052947,3,3,0,0,0,0,0,1,92946.59315200003
Balasore,2035.758404415859,4,2,1,0,1,1,1,1,74525.28133085047
Aganampudi,3439.6854978626175,1,3,0,0,0,1,1,0,182505.5567829211
Kothuru,753.0972908232804,2,2,1,1,0,1,1,0,41233.127744301266
Patan,2157.6680932784016,1,3,1,1,0,0,0,0,151324.84042299524
Suryabagh,940.1751928983433,2,2,0,1,1,1,1,0,48642.08747075511
Jagdalpur,1568.8333368042158,2,2,1,0,0,0,1,1,80388.5530788649
Ghaziabad,3054.485478596079,3,2,1,1,1,0,0,1,131127.6731993897
Simhachalam,2113.6652657275595,2,2,1,0,1,0,0,0,130580.44743069862
Raisen,1753.1978265247697,1,3,1,0,0,0,0,0,86102.8659913205
Lucknow,1820.114602852127,1,3,0,0,1,1,0,1,101914.47412786655
Nagpur,2054.0083662615516,4,2,0,1,0,0,0,0,59618.96086529937
Sambhal,3226.059557813405,1,2,0,1,1,0,0,1,114869.18404804023
Mysuru,3611.504880184844,4,3,1,0,0,0,1,1,147477.02252387
Arilova,3839.204871414142,2,2,1,1,1,0,1,0,140927.14737449394
Navsari,3232.8521905190623,1,2,0,1,1,0,1,1,157354.87738624177
Bijnor,1535.464824692846,2,2,0,0,0,1,1,1,81567.93570014308
Madurai,2877.284941911552,1,1,1,0,0,0,1,1,123613.98965560173
Moradabad,1975.3712465994108,1,2,0,1,0,1,1,1,118824.67357145766
Yadgir,1316.8142393657843,4,1,0,0,0,1,0,0,82592.99192651064
Rohtak,3427.1376859333213,2,2,1,0,1,0,0,1,102640.79388605671
Shivpuri,538.33485626437,1,3,0,1,1,1,0,1,24712.91216900818
Gandhinagar,3646.343171687525,3,1,1,1,1,1,1,1,230152.31119638844
Palakkad,2061.318872649043,2,1,0,0,1,1,1,0,149145.27900667288
Venkojipalem,2693.9253165098094,2,2,1,1,0,0,0,0,98624.01345248864
Vijayawada,2773.674119940818,2,2,1,0,1,0,0,0,109353.17915843781
Coimbatore,3622.423866543531,4,1,1,0,0,0,0,1,162201.569112992
Tonk,2692.0108558019465,3,3,1,1,1,0,0,0,163784.1068324075
Waltair Uplands,2610.1609051362225,2,3,1,0,0,0,0,0,165350.9075909954
Mangalore,639.9473460184838,1,2,0,0,0,0,1,0,26971.844787815688
Vasai-Virar,2266.2688790027346,1,3,0,0,0,0,1,1,100156.87961516826
Jagadamba Junction,940.6084029413499,4,3,0,1,0,1,1,0,94834.13531605931
Jalandhar,3054.7615673973482,1,2,1,1,0,1,0,0,216325.24080847047
Thoothukudi,2243.998914925628,2,3,0,1,1,0,1,0,113960.54658271038
Tiruchirappalli,2848.820005150072,1,2,1,0,0,1,0,1,215339.79614590533
Ludhiana,550.0224421685833,2,1,1,0,1,0,1,1,40792.92072013167
Ahmedabad,705.2512577648915,1,2,0,1,1,0,0,0,41087.7983659389
Meerut,2978.764197025656,3,1,1,1,0,0,0,0,92900.74493124831
Firozabad,659.5036095952241,4,1,0,1,1,1,1,0,42277.707461702856
Vepagunta,656.5242199549309,4,3,1,0,1,0,1,1,42015.054877707546
Pali,443.59051084559485,3,3,1,1,1,0,1,1,52757.75083421706
Buxar,3843.4050338781285,3,3,0,0,0,0,1,0,138811.7345066017
Kochi,3055.030094052425,4,2,1,1,0,0,1,1,220629.0597398068
Jhunjhunu,1671.705070607431,3,3,0,0,0,1,0,0,146232.53840477305
Srikakulam,1467.5280926355588,2,1,1,0,0,0,1,1,47140.819477057834
Kailasagiri,1658.9316270850584,1,3,0,1,1,1,1,0,91981.53967676878
Arilova,3188.7527122522547,4,3,1,0,1,1,0,1,195458.22070097743
Baddi,2780.934199853492,3,2,0,1,1,0,1,0,236800.4757380363
Madhurawada,1066.7040443228846,2,2,0,0,1,0,0,1,74439.32292851846
Navsari,1026.7936072027037,4,1,1,0,1,1,1,0,67187.80720724186
Vijayanagaram,754.2243389682303,3,2,0,1,1,1,1,0,63066.361414697014
Tiruvannamalai,2777.0897909248174,4,3,1,0,0,1,0,0,176506.8446084502
Saharsa,3151.7415839982496,3,2,1,1,1,1,1,0,206873.57746921587
Mangalore,1354.1671419700147,4,1,0,1,1,0,1,1,72313.33468894336
Kothavalasa,475.40185971128614,2,3,0,1,1,1,1,0,43606.34903086438
Bhatinda,695.8180029151384,2,1,0,0,0,1,1,1,42045.34207122808
Madhurawada,3884.2961254421098,1,2,0,0,1,1,0,1,272439.98800433526
Mysuru,1463.601198918713,4,2,0,0,1,1,0,0,128663.76023641128
Kannur,3169.203332217281,1,1,1,1,0,0,1,0,128243.66269455444
Dibrugarh,2648.78884787535,4,3,0,1,1,0,1,0,162521.91034255215
Cuttack,1774.9827027504252,3,2,1,0,0,0,0,0,87111.53363654368
Pondicherry,1140.4741439039985,3,2,0,0,0,1,0,1,64202.25049482556
Bhopal,836.9911053738631,1,3,0,1,1,1,1,1,36157.96060535879
Ratlam,2614.04668493992,4,2,0,0,1,0,0,1,106955.94005779164
Sikar,3188.6816102960365,1,1,1,1,0,0,0,1,122821.92628554993
Noida,2718.0553127480703,2,2,0,0,1,1,0,0,236002.4189066996
Sultanpur,2309.0876796969696,1,2,1,1,1,0,0,1,129214.69022953432
Tiruchirappalli,551.0244043538905,1,3,1,0,0,1,1,0,28873.568518927288
Kolar,3886.5595993397815,3,1,1,0,0,1,0,0,247493.25410418533
Ichchapuram,3275.3710899564685,1,3,0,1,1,1,1,1,144165.95665486006
Marripalem,1454.159332123473,4,2,1,1,0,1,1,1,121711.30433438066
Nizamabad,3927.8931856918625,3,2,0,1,1,1,0,1,287553.2979881438
Kannur,2566.7737226907598,1,3,1,0,1,1,1,1,77233.0175183889
Gwalior,2496.7215695460873,2,3,0,1,1,0,1,1,122292.42882054993
Shivpuri,3093.0634459463154,1,3,1,1,1,0,0,1,130033.27993850985
Solan,3322.371237124495,1,1,0,0,0,0,0,0,83849.64704686857
Sagar Nagar,2763.3229863934093,1,2,0,1,1,1,0,0,75715.98823023084
Jabalpur,861.1446869183201,3,3,0,1,0,0,1,0,45595.16615418329
Kozhikode,1617.7630215801942,4,2,1,1,1,1,1,1,65087.44020531257
Nellore,3741.101105173779,2,1,1,0,1,1,1,0,138800.8436038069
Bharatpur,1208.616202637867,1,1,0,0,0,1,1,0,65675.10763281854
Cheepurupalli,1739.801285815048,4,1,1,0,1,1,0,0,68011.48515896352
Bhiwandi,1955.4767785991055,4,1,1,1,0,0,1,0,105908.47792940657
Anantnag,1981.8579629000278,3,2,1,0,0,0,0,0,105985.20084210423
Wayanad,2606.582496980292,2,1,1,1,1,0,0,0,130794.80535224231
Jalandhar,3795.0730158809474,3,1,1,1,1,1,0,1,114377.89339165635
Kasganj,1266.4937625970178,4,3,1,1,1,0,0,1,53171.030457899426
Bokaro,837.404954683305,4,1,1,0,1,0,1,1,54541.324421021534
Rohtak,1110.8937634957742,4,3,0,0,0,0,0,0,49132.06948806999
Kurmannapalem,3592.92964075337,3,1,0,1,1,1,1,1,146827.2301280102
Asansol,2724.9189255587416,2,1,1,1,1,0,0,1,210022.84783740743
Buxar,1429.2644412609766,1,3,0,0,1,1,0,0,72722.63923073257
Gajuwaka,3337.408980287022,3,1,0,0,1,0,0,1,132572.24456180207
Bobbili,3500.9319869083697,4,2,0,0,1,1,1,0,133299.94543313707
Tinsukia,3447.451619285001,3,2,1,1,0,0,0,1,170984.68597184576
Cuttack,3708.135521102396,4,1,1,0,1,0,0,0,260275.6776060802
Kanpur,1308.0676726241018,1,2,1,0,0,0,0,0,84301.17957153599
Gondia,3118.150943486602,1,3,1,0,1,1,0,1,132183.35516721543
Noida,2057.942190186904,2,1,1,1,1,0,1,0,132821.68848348042
Nizamabad,3431.1947904042217,4,1,0,0,1,0,1,1,195420.8577613612
Sitamarhi,3022.5664377818075,2,3,1,1,0,1,0,0,174234.95287688947
Malappuram,3195.210807399009,2,3,0,1,1,1,0,1,79760.59884295665
Ambattur,2762.1826156518573,1,3,1,1,0,1,1,1,174341.6438654174
Dantewada,1038.7435700909448,3,1,0,0,0,1,1,0,88075.53042118902
Nizamabad,2362.096908028978,3,3,1,0,1,0,1,1,183293.58518619262
Saharsa,3944.8110622882296,2,3,1,0,0,0,0,1,87207.45390555369
Ulhasnagar,3774.597039389628,1,2,1,1,1,1,1,1,236574.52143949963
Tezpur,555.425448869242,4,2,1,0,1,0,0,0,59244.83016125438
Hubli,993.3333366259736,3,1,1,1,0,1,1,0,57662.977440900366
Jammu,874.2235844364229,2,2,1,0,1,0,1,1,49987.50571996895
Chennai,3013.527675947064,3,2,0,0,1,1,0,1,286897.2996853685
Hazaribagh,3344.0271874850023,3,3,1,0,0,0,1,0,137765.07681217708
Margao,1168.640918718419,4,3,0,0,0,1,0,0,79613.56493914899
Vellore (Rural),2221.0696946265844,1,2,1,1,0,1,1,1,71967.63813738771
Vadodara,3426.53090084032,4,2,0,1,0,0,0,0,226200.3681091745
Chipurupalle,3038.085561158502,1,2,0,1,0,0,1,0,126659.63900118724
Prayagraj,2352.053939770654,3,1,0,1,0,0,1,1,97170.19227574224
Sambhal,2525.251685651582,2,1,0,0,1,1,0,0,135485.90738086353
Kolhapur,2230.097968898608,4,1,0,1,0,0,0,0,147431.5516392964
Nellore,1471.174424747754,1,2,0,1,0,1,0,0,68627.06808115004
Satara,2434.079174292458,3,2,1,1,1,0,0,1,124042.52422835148
Chipurupalle,2879.9870873803266,1,1,0,0,1,0,1,0,140925.83982084732
Gwalior,3543.9624970989075,1,1,1,1,0,1,1,1,183137.31467618028
Haridwar,2690.648874325293,1,2,1,1,0,1,1,0,130844.2795377915
Kochi,3140.037533355369,3,3,0,0,1,0,1,0,145503.1961297752
Rajam,976.2578858364628,2,1,0,0,0,1,1,1,60738.6625760802
Raichur,2061.6069079112435,2,2,1,1,0,1,1,1,79573.3887325431
Nizamabad,433.5938313775359,2,2,0,1,1,0,0,1,38721.393178562925
Navsari,1288.043912277843,1,3,0,0,0,1,1,1,70739.7096462517
Jind,3015.2621744068174,3,2,0,1,1,0,1,0,136509.63919951677
